# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 180  of event 'cpu_core/cache-misses/'
# Event count (approx.): 455329
#
# Overhead,Command        ,Shared Object       ,Symbol                              
 0.42%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] uncharge_folio
 0.41%  ,run_benchmark.s,bash                ,[.] 0x0000000000038220
 0.40%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] switch_fpu_return
 0.40%  ,run_benchmark.s,bash                ,[.] 0x0000000000111900
 0.40%  ,run_benchmark.s,libc.so.6           ,[.] __printf_buffer_to_file_done
 0.38%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] free_unref_page_list
 0.36%  ,bc             ,[kernel.kallsyms]   ,[k] handle_mm_fault
 0.36%  ,bc             ,[kernel.kallsyms]   ,[k] __rcu_read_lock
 0.36%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] mas_walk
 0.33%  ,bc             ,libc.so.6           ,[.] __x86_cacheinfo_ifunc
 0.33%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] get_vma_policy
 0.33%  ,bc             ,[kernel.kallsyms]   ,[k] apparmor_file_open
 0.33%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __memset
 0.33%  ,bc             ,libc.so.6           ,[.] __memcpy_chk
 0.32%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] _find_next_bit
 0.32%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] _raw_spin_trylock
 0.32%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] do_wp_page
 0.31%  ,bc             ,ld-linux-x86-64.so.2,[.] strcmp
 0.29%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] kmalloc_trace
 0.29%  ,bc             ,ld-linux-x86-64.so.2,[.] _dl_relocate_object
 0.28%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] filemap_map_pages
 0.27%  ,bc             ,[kernel.kallsyms]   ,[k] set_ptes.isra.0
 0.27%  ,bc             ,[kernel.kallsyms]   ,[k] acct_collect
 0.26%  ,bc             ,[kernel.kallsyms]   ,[k] release_pages
 0.26%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] handle_mm_fault
 0.25%  ,bc             ,[kernel.kallsyms]   ,[k] _raw_spin_lock
 0.25%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] __handle_mm_fault
 0.25%  ,bc             ,ld-linux-x86-64.so.2,[.] _dl_cache_libcmp
 0.25%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] zap_pte_range
 0.25%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] set_pte_range
 0.25%  ,bc             ,[kernel.kallsyms]   ,[k] entry_SYSCALL_64
 0.25%  ,bc             ,[kernel.kallsyms]   ,[k] lock_vma_under_rcu
 0.24%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] lru_gen_add_folio
 0.24%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] mas_leaf_max_gap
 0.24%  ,bc             ,libc.so.6           ,[.] _int_malloc
 0.23%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] free_unref_page_list
 0.23%  ,run_benchmark.s,libc.so.6           ,[.] __gconv_transform_utf8_internal
 0.23%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] strnlen_user
 0.22%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] get_page_from_freelist
 0.22%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] anon_vma_clone
 0.21%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] perf_event_alloc
 0.21%  ,bc             ,[kernel.kallsyms]   ,[k] set_pte_range
 0.20%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] release_pages
 0.20%  ,bc             ,ld-linux-x86-64.so.2,[.] _dl_check_map_versions
 0.20%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] exit_mmap
 0.19%  ,bc             ,[kernel.kallsyms]   ,[k] security_mmap_file
 0.19%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] kmalloc_node_trace
 0.19%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] update_cfs_group
 0.18%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __rmqueue_pcplist
 0.18%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __inode_wait_for_writeback
 0.18%  ,run_benchmark.s,libc.so.6           ,[.] __mbrtowc
 0.18%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __handle_mm_fault
 0.18%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] policy_nodemask
 0.18%  ,run_benchmark.s,libc.so.6           ,[.] cfree@GLIBC_2.2.5
 0.18%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] mm_init
 0.17%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] zap_pmd_range.isra.0
 0.17%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] folio_add_lru
 0.16%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] next_uptodate_folio
 0.16%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] mas_walk
 0.15%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] get_page_from_freelist
 0.15%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] mas_find
 0.15%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] do_fault
 0.15%  ,run_benchmark.s,libc.so.6           ,[.] _int_malloc
 0.15%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] kmem_cache_free
 0.15%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] psi_group_change
 0.14%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __irqentry_text_end
 0.14%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] _copy_from_user
 0.14%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] kmem_cache_alloc
 0.14%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] __irqentry_text_end
 0.14%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __count_memcg_events
 0.13%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] ___slab_alloc
 0.13%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __rcu_read_unlock
