# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 91  of event 'cpu_core/cache-misses/'
# Event count (approx.): 602453
#
# Overhead,Command        ,Shared Object       ,Symbol                             
 0.05%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] dup_userfaultfd_complete
 0.05%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] clear_page_erms
 0.05%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] next_uptodate_folio
 0.04%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] native_flush_tlb_one_user
 0.04%  ,bc             ,[kernel.kallsyms]   ,[k] next_uptodate_folio
 0.04%  ,bc             ,[kernel.kallsyms]   ,[k] put_cpu_partial
 0.04%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] mas_rev_awalk
 0.03%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __mod_memcg_state
 0.03%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] folio_put
 0.03%  ,run_benchmark.s,bash                ,[.] 0x000000000003767c
 0.03%  ,run_benchmark.s,libc.so.6           ,[.] __memmove_avx_unaligned_erms
 0.03%  ,run_benchmark.s,bash                ,[.] mbschr
 0.02%  ,run_benchmark.s,ld-linux-x86-64.so.2,[.] do_lookup_x
 0.02%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] folio_add_file_rmap_ptes
 0.02%  ,run_benchmark.s,libc.so.6           ,[.] __mbrtowc
 0.02%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] hsw_hw_config
 0.02%  ,run_benchmark.s,libc.so.6           ,[.] __gconv_transform_utf8_internal
 0.01%  ,run_benchmark.s,libc.so.6           ,[.] __collseq_table_lookup
 0.01%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __perf_addr_filters_adjust
 0.01%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] handle_pte_fault
 0.00%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] mas_walk
 0.00%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __alloc_pages
 0.00%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __handle_mm_fault
 0.00%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __pte_offset_map
 0.00%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] _raw_spin_lock
 0.00%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] error_entry
 0.00%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] do_user_addr_fault
 0.00%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] up_read


#
# (Cannot load tips.txt file, please install perf!)
#
